driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
8,Kimi,Räikkönen,-0.037709030100334995,31,montoya,27,2006,United States Grand Prix
31,Juan,Pablo Montoya,-0.018084745762710304,8,raikkonen,31,2006,United States Grand Prix
17,Mark,Webber,-0.4676307692307675,3,rosberg,30,2006,United States Grand Prix
26,Scott,Speed,-1.1462307692307656,24,liuzzi,23,2006,United States Grand Prix
27,Christijan,Albers,0.21982926829267785,33,monteiro,27,2006,United States Grand Prix
33,Tiago,Monteiro,-0.047633333333329614,27,albers,30,2006,United States Grand Prix
32,Christian,Klien,-0.5882978723404344,14,coulthard,23,2006,United States Grand Prix
14,David,Coulthard,0.2148291139240605,32,klien,35,2006,United States Grand Prix
3,Nico,Rosberg,0.7095583756345155,17,webber,21,2006,United States Grand Prix
15,Jarno,Trulli,2.021360000000001,23,ralf_schumacher,32,2006,United States Grand Prix
24,Vitantonio,Liuzzi,0.8411866666666626,26,speed,26,2006,United States Grand Prix
30,Michael,Schumacher,0.3132947976878505,13,massa,37,2006,French Grand Prix
13,Felipe,Massa,-0.066856557377039,30,michael_schumacher,25,2006,French Grand Prix
4,Fernando,Alonso,-0.292238255033559,21,fisichella,25,2006,French Grand Prix
15,Jarno,Trulli,0.05836000000000703,23,ralf_schumacher,32,2006,French Grand Prix
23,Ralf,Schumacher,0.018673267326726584,15,trulli,31,2006,French Grand Prix
8,Kimi,Räikkönen,-0.3737090301003335,37,rosa,27,2006,French Grand Prix
21,Giancarlo,Fisichella,0.6295106382978735,4,alonso,33,2006,French Grand Prix
37,Pedro,de la Rosa,0.37935294117646906,8,raikkonen,35,2006,French Grand Prix
3,Nico,Rosberg,-0.06444162436548537,17,webber,21,2006,French Grand Prix
14,David,Coulthard,-0.6511708860759533,32,klien,35,2006,French Grand Prix
17,Mark,Webber,0.3063692307692334,3,rosberg,30,2006,French Grand Prix
2,Nick,Heidfeld,-0.5905514705882315,35,villeneuve,29,2006,French Grand Prix
32,Christian,Klien,0.27770212765957947,14,coulthard,23,2006,French Grand Prix
22,Rubens,Barrichello,-0.4423568075117357,18,button,34,2006,French Grand Prix
26,Scott,Speed,-0.3192307692307675,24,liuzzi,23,2006,French Grand Prix
27,Christijan,Albers,-0.3971707317073124,33,monteiro,27,2006,French Grand Prix
24,Vitantonio,Liuzzi,0.014186666666664488,26,speed,26,2006,French Grand Prix
35,Jacques,Villeneuve,0.6110649350649305,2,heidfeld,35,2006,French Grand Prix
18,Jenson,Button,0.48692430278884347,22,barrichello,26,2006,French Grand Prix
33,Tiago,Monteiro,0.5693666666666606,27,albers,30,2006,French Grand Prix
36,Franck,Montagny,-0.6246000000000009,11,sato,28,2006,French Grand Prix
11,Takuma,Sato,0.057784615384614074,36,montagny,29,2006,French Grand Prix
8,Kimi,Räikkönen,-1.8887090301003482,37,rosa,27,2006,German Grand Prix
30,Michael,Schumacher,-0.03370520231214369,13,massa,37,2006,German Grand Prix
13,Felipe,Massa,0.2801434426229552,30,michael_schumacher,25,2006,German Grand Prix
18,Jenson,Button,-0.05807569721115826,22,barrichello,26,2006,German Grand Prix
21,Giancarlo,Fisichella,-0.3184893617021198,4,alonso,33,2006,German Grand Prix
22,Rubens,Barrichello,0.10264319248826605,18,button,34,2006,German Grand Prix
4,Fernando,Alonso,0.6557617449664344,21,fisichella,25,2006,German Grand Prix
23,Ralf,Schumacher,-0.4433267326732767,15,trulli,31,2006,German Grand Prix
